,REPORTED_TERM,DESC_CODED,LLT_NAME_COMPL,PT_NAME_COMPL,HLT_NAME_COMPL,HLGT_NAME_COMPL,SOC_CODE,INC_CODE_J,ART_CODE,INC_CODE
24586,MULTI ORGAN FAILURE FOLLOWING GASTOINTESTINAL SYMPTOMS,Multiorgan failure,MULTIORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028162,10077361,10028162
24656,NECROTIZING SOFT TISSUE INFECTION,Necrotising soft tissue infection,NECROTIZING SOFT TISSUE INFECTION,NECROTISING SOFT TISSUE INFECTION,MUSCLE AND SOFT TISSUE INFECTIONS,INFECTIONS - PATHOGEN UNSPECIFIED,10021881,10076637,10076637,10076638
24699,MULTIORGAN FAILURE FOLLOWING SEVERE SEPTIC SHOCK,Multiorgan failure,MULTIORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028162,10077361,10028162
24739,DRUG USE FOR UNAPPROVED INDICATION,Drug use for unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
24861,ADVANCED EMPD THAT WERE SUCCESSFULLY CONTROLLED BY DOCETAXEL WITH CISPLATIN,Drug effective for unapproved indication,DRUG EFFECTIVE FOR UNAPPROVED INDICATION,DRUG EFFECTIVE FOR UNAPPROVED INDICATION,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10079317,10079317,10079317
24900,VACCINE CONTRAINDICATED FOR USE IN SCID PATIENTS,Contraindicated drug prescribed,CONTRAINDICATED DRUG PRESCRIBED,CONTRAINDICATED DRUG PRESCRIBED,PRODUCT PRESCRIBING ERRORS AND ISSUES,MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10078779,10078779,10078779
24918,PREDNISONE USED FOR THE TREATMENT OF JUVENILE XANTHOGRANULOMA,Drug use for unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
24931,FIXED DRUG ERUPTION,Fixed eruption,FIXED DRUG ERUPTION,FIXED ERUPTION,DERMATITIS ASCRIBED TO SPECIFIC AGENT,EPIDERMAL AND DERMAL CONDITIONS,10040785,10016740,10016741,10016740
25005,MULTIORGAN FAILURE,Multiple organ dysfunction syndrome,MULTIORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028162
25117,"SMALL INTESTINAL BACTERIAL OVERGROWTH SYNDROME (SIBO), (OF KLEBSIELLA)",Gastrointestinal bacterial overgrowth,SMALL INTESTINAL BACTERIAL OVERGROWTH,GASTROINTESTINAL BACTERIAL OVERGROWTH,BACTERIAL INFECTIONS NEC,BACTERIAL INFECTIOUS DISORDERS,10021881,10071061,10078158,10071061
25124,BLEOMYCIN USED FOR SERTOLI-LEYDIG OVARIAN TUMOR,Drug use for unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
25134,MULTIORGAN FAILURE,Multiple organ dysfunction syndrome,MULTI-ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028154
25137,BULLOUS FIXED DRUG ERUPTION FOLLOWING IBUPROFEN INGESTION/ ANAL MUCOSAL LESION AND SIMILAR PENILE INVOLVEMENT,Fixed eruption,FIXED DRUG ERUPTION,FIXED ERUPTION,DERMATITIS ASCRIBED TO SPECIFIC AGENT,EPIDERMAL AND DERMAL CONDITIONS,10040785,10016740,10016741,10016740
25175,INABILITY TO WALK,Gait inability,UNABLE TO WALK,GAIT INABILITY,GAIT DISTURBANCES,GENERAL SYSTEM DISORDERS NEC,10018065,10017581,10017581,10049278
25209,DRUG EXPOSURE VIA BREAST MILK WITH NO ADR,Exposure via breast milk,DRUG EXPOSURE VIA BREAST MILK,EXPOSURE VIA BREAST MILK,PATHWAYS AND SOURCES OF EXPOSURE,"EXPOSURES, CHEMICAL INJURIES AND POISONING",10022117,10051075,10080751,10051075
25223,MULTIORGAN FAILURE,Multiple organ dysfunction syndrome,MULTIORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028162
25326,MILD TO MODERATE MENTAL RETARDATION FOLLOWING DRUG EXPOSURE IN UTERO,mental retardation,MENTAL RETARDATION,INTELLECTUAL DISABILITY,INTELLECTUAL DISABILITIES,MENTAL IMPAIRMENT DISORDERS,10029205,10027378,10067989,10027378
25446,LOMUSTINE USED FOR ACUTE MYELOID LEUKEAMIA,Drug use for unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
25468,CHRONIC FECAL SECRETION OF VACCINE-DERIVED POLIOVIRUS,Fecal incontinence,FECAL INCONTINENCE,ANAL INCONTINENCE,GASTROINTESTINAL SIGNS AND SYMPTOMS NEC,GASTROINTESTINAL SIGNS AND SYMPTOMS,10017947,10016296,10077605,10016296
25478,FIXED DRUG ERUPTION FOLLOWING OFF LABEL USE OF AMOXICILLIN AND METAMIZOLE,Fixed eruption,FIXED DRUG ERUPTION,FIXED ERUPTION,DERMATITIS ASCRIBED TO SPECIFIC AGENT,EPIDERMAL AND DERMAL CONDITIONS,10040785,10016740,10016741,10016740
25479,TENOFOVIR DISOPROXIL FUMARATE-ASSOCIATED RENAL TUBULAR DYSFUNCTION,Renal tubular dysfunction,RENAL TUBULAR DYSFUNCTION,RENAL TUBULAR DYSFUNCTION,NEPHROPATHIES AND TUBULAR DISORDERS NEC,NEPHROPATHIES,10038359,10050335,10050335,10050335
25498,MULTI-ORGAN FAILURE,Multiple organ dysfunction syndrome,MULTI-ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028154
25519,NEONATAL HYPOCALCEMIA,NEONATAL HYPOCALCEMIA,NEONATAL HYPOCALCEMIA,NEONATAL HYPOCALCAEMIA,CALCIUM METABOLISM DISORDERS,"BONE, CALCIUM, MAGNESIUM AND PHOSPHORUS METABOLISM DISORDERS",10027433,10079308,10079306,10079308
25562,MYCOPHENOLATE MOFETIL AND RITUXIMAB USED FOR GRANULOMATOSIS WITH POLYANGIITIS,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
25673,FLUDARABINE-REFRACTORY CHRONIC LYMPHOCYTIC LEUKEMIA,Therapy non-responder,NO THERAPEUTIC RESPONSE,THERAPY NON-RESPONDER,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10063670,10051082,10063670
25744,PRIMARILY REFRACTORY/STABLE DISEASE/NO RESPONSE,Therapy non-responder,NO THERAPEUTIC RESPONSE,THERAPY NON-RESPONDER,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10063670,10051082,10063670
25836,MITRAL MVP THROMBOSIS,Prosthetic cardiac valve thrombosis,PROSTHETIC CARDIAC VALVE THROMBOSIS,PROSTHETIC CARDIAC VALVE THROMBOSIS,CARDIAC VALVE DISORDERS NEC,CARDIAC VALVE DISORDERS,10007541,10063176,10063176,10063176
25859,DISTURBED DAY-NIGHT RHYTHM,Irregular sleep wake rhythm disorder,SLEEP PHASE RHYTHM DISTURBANCE,IRREGULAR SLEEP WAKE RHYTHM DISORDER,DISTURBANCES IN SLEEP PHASE RHYTHM,SLEEP DISTURBANCES (INCL SUBTYPES),10029205,10041003,10080301,10041003
25903,METHOTREXATE (MTX) ASSOCIATED EPSTEIN-BARR VIRUS-POSITIVE MUCOCUTANEOUS ULCER/SKIN ULCER,Epstein Barr virus positive mucocutaneous ulcer,EPSTEIN BARR VIRUS POSITIVE MUCOCUTANEOUS ULCER,EPSTEIN BARR VIRUS POSITIVE MUCOCUTANEOUS ULCER,LYMPHOPROLIFERATIVE DISORDERS NEC (EXCL LEUKAEMIAS AND LYMPHOMAS),HAEMATOPOIETIC NEOPLASMS (EXCL LEUKAEMIAS AND LYMPHOMAS),10029104,10079386,10079386,10079386
25988,DRUG USED FOR UNAPPROVED INDICATION,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
26017,LIP ERYTHEMA,Lip erythema,LIP ERYTHEMA,LIP ERYTHEMA,ORAL SOFT TISSUE SIGNS AND SYMPTOMS,ORAL SOFT TISSUE CONDITIONS,10017947,10080124,10080124,10080124
26021,NOCTURAL SYMPTOMS AND OCCASIONAL FAECAL INCONTINENCE,Anal incontinence,FAECAL INCONTINENCE,ANAL INCONTINENCE,GASTROINTESTINAL SIGNS AND SYMPTOMS NEC,GASTROINTESTINAL SIGNS AND SYMPTOMS,10017947,10016092,10077605,10016092
26032,RE-OCCURRENCE OF SCINTILLATING SCOTOMA OF APPROXIMATELY 60 MIN DURATION COINCIDING WITH A PAIN EXACERBATION,Symptom recurrence,SYMPTOM RECURRENCE,SYMPTOM RECURRENCE,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10080080,10080080,10080080
26114,"DESPITE CONSERVATIVE TREATMENT, THE CONDITION OF HIS EYELID HAD NOT IMPROVED, SO HE RECEIVED A SUBCUTANEOUS TA INJECTION (4 MG/0.05 ML).",Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
26245,LITHIUM-INDUCED END STAGE RENAL DISEASE,end stage renal disease,END STAGE RENAL DISEASE,END STAGE RENAL DISEASE,RENAL FAILURE AND IMPAIRMENT,RENAL DISORDERS (EXCL NEPHROPATHIES),10038359,10077512,10077512,10077512
26284,MULTI ORGAN FAILURE DUE TO DISSEMINATION OF ADENOVIRUS INFECTION FOLLOWING LACK OF DRUG EFFECT OF RIBAVIRIN,Multiple organ dysfunction syndrome,MULTI ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028151
26297,AMOXICILLIN/CLAVULANIC ACID AND AZITHROMYCIN USED FOR NOCARDIOSIS,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
26310,PEAK CORTISOL RESPONSE TO A LOW-DOSE (1UG)ACTH STIMULATION TEST WAS 18.7 UG/DL,Cortisol increased,CORTISOL INCREASED,CORTISOL INCREASED,ADRENAL CORTEX TESTS,ENDOCRINE INVESTIGATIONS (INCL SEX HORMONES),10022891,10011207,10011207,10011207
26318,TENOFOVIR DISOPROXIL FUMARATE- ASSOCIATED RENAL TUBULAR DYSFUNCTION,Renal tubular dysfunction,RENAL TUBULAR DYSFUNCTION,RENAL TUBULAR DYSFUNCTION,NEPHROPATHIES AND TUBULAR DISORDERS NEC,NEPHROPATHIES,10038359,10050335,10050335,10050335
26342,HBV REACTIVATION,Hepatitis B reactivation,HEPATITIS B REACTIVATION,HEPATITIS B REACTIVATION,HEPATITIS VIRAL INFECTIONS,VIRAL INFECTIOUS DISORDERS,10021881,10058827,10058827,10058827
26353,OESTROGENS AND FINASTERIDE PURCHASED ONLINE IN ORDER TO PROCEED WITH THE TRANSITION/FINASTERIDE USED FOR GENDER AFFIRMATION,Product use in unapproved indication,PRODUCT USE IN UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10076476,10076476,10076476
26427,DRUG EXPOSURE VIA BREAST MILK,Exposure via breast milk,DRUG EXPOSURE VIA BREAST MILK,EXPOSURE VIA BREAST MILK,PATHWAYS AND SOURCES OF EXPOSURE,"EXPOSURES, CHEMICAL INJURIES AND POISONING",10022117,10051075,10080751,10051075
26480,RITUXIMAB USED FOR TREATMENT OF MERKEL CELL CARCINOMA,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
26488,DID NOT SEEM TO CONTROL HER TUMOR-RELATED PAIN,therapy non-responder,THERAPY NON-RESPONDER,THERAPY NON-RESPONDER,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10051082,10051082,10051082
26553,INTRA-PLEURAL STREPTOKINASE INSTILLATION WAS GIVEN AT 12 HOURS TIME INTERVAL AS A ALTERNATIVE THERAPEUTIC OPTION,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
26631,METHOTREXATE USED FOR TREATMENT OF SARCOIDOSIS,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
26749,REPETITIVE NERVE STIMULATION REVEALED DECREMENTAL RESPONSE OVER 10% AT 2-3 HZ. THE 6MWT BASELINE WAS 380 M AND SALBUTAMOL TREATMENT,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
26828,DEPERSONALIZATION,depersonalization,DEPERSONALIZATION,DEPERSONALISATION/DEREALISATION DISORDER,DISSOCIATIVE STATES,DISSOCIATIVE DISORDERS,10037175,10012359,10077805,10012359
26850,COLOR VISION CHANGES,Dyschromatopsia,COLOR VISION CHANGE,DYSCHROMATOPSIA,COLOUR BLINDNESS (INCL ACQUIRED),VISION DISORDERS,10015919,10068918,10013892,10068914
26864,NORMOCYTIC ANEMIA,Normocytic anaemia,NORMOCYTIC ANEMIA,NORMOCYTIC ANAEMIA,ANAEMIAS NEC,ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION,10005329,10029784,10029784,10029785
26866,SEXUAL HEADACHE,Primary headache associated with sexual activity,PRIMARY HEADACHE ASSOCIATED WITH SEXUAL ACTIVITY,PRIMARY HEADACHE ASSOCIATED WITH SEXUAL ACTIVITY,HEADACHES NEC,HEADACHES,10029205,10079056,10079056,10079056
26872,BILIARY DYSPEPSIA,biliary dyspepsia,BILIARY DYSPEPSIA,BILIARY DYSPEPSIA,HEPATOBILIARY SIGNS AND SYMPTOMS,HEPATIC AND HEPATOBILIARY DISORDERS,10019805,10077835,10077835,10077835
26903,PSYCHOORGANIC SYNDROME,Psychoorganic syndrome,PSYCHOORGANIC SYNDROME,ORGANIC BRAIN SYNDROME,MENTAL DISORDERS DUE TO A GENERAL MEDICAL CONDITION NEC,PSYCHIATRIC DISORDERS NEC,10037175,10078099,10031077,10078099
26912,EMERGENCE OF PSYCHOTIC SYMPTOMS,psychotic symptom,PSYCHOTIC SYMPTOM,PSYCHOTIC SYMPTOM,PSYCHOTIC DISORDER NEC,SCHIZOPHRENIA AND OTHER PSYCHOTIC DISORDERS,10037175,10079254,10079254,10079254
27058,TUMEFACTIVE DEMYELINATING LESIONS,Tumefactive multiple sclerosis,TUMEFACTIVE MULTIPLE SCLEROSIS,TUMEFACTIVE MULTIPLE SCLEROSIS,MULTIPLE SCLEROSIS ACUTE AND PROGRESSIVE,DEMYELINATING DISORDERS,10029205,10078556,10078556,10078556
27071,OGILVIE SYNDROME,Ogilvie syndrome,OGILVIE'S SYNDROME,INTESTINAL PSEUDO-OBSTRUCTION,GASTROINTESTINAL ATONIC AND HYPOMOTILITY DISORDERS NEC,GASTROINTESTINAL MOTILITY AND DEFAECATION CONDITIONS,10017947,10052504,10022698,10052504
27136,AFTER CLOSE MONITORING WITH PT/OT/SLP IT WAS NOTED THAT THE PATIENT HADSIGNIFICANT IMPROVEMENT OF HER DYSTONIC MOVEMENTS IN ALL FOUR EXTREMITIES.,Drug effective for unapproved indication,DRUG EFFECTIVE FOR UNAPPROVED INDICATION,DRUG EFFECTIVE FOR UNAPPROVED INDICATION,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10079317,10079317,10079317
27150,DRUG USE FOR UNAPPROVED INDICATION,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
27189,MULITPLE ORGAN FAILURE DUE TO SEPSIS,Multiple organ dysfunction syndrome,MULTI ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028151
27218,THE MEDICATION PRESERVATION WAS NOT ADEQUATE. THE PHYSICAL-CHEMICAL CHARACTERISTICS OF THE TABLETS WERE PROBABLY AFFECTED,Product storage error,PRODUCT STORAGE ERROR,PRODUCT STORAGE ERROR,PRODUCT STORAGE ERRORS AND ISSUES IN THE PRODUCT USE SYSTEM,MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10079843,10079843,10079843
27237,DOSE INCREASED,Wrong dose,ACCIDENTAL DOSE INCREASE,WRONG DOSE,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10074988,10080304,10074988
27257,BITEMPORAL INFERIOR QUADRANTANOPIA (FOLLOWING FUNGAL ABSCESS),Quadrantanopia,QUADRANTANOPIA,QUADRANTANOPIA,NEUROLOGIC VISUAL PROBLEMS NEC,NEUROLOGICAL DISORDERS OF THE EYE,10029205,10077820,10077820,10077820
27310,CYCLOPHOSPHAMIDE AND DOXORUBICIN USED FOR FOLLICULOTROPIC SEZARY SYNDROME,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
27332,MENTALLY REDUCED,Intellectual disability,DEFICIENCY MENTAL,INTELLECTUAL DISABILITY,INTELLECTUAL DISABILITIES,MENTAL IMPAIRMENT DISORDERS,10029205,10027378,10067989,10012131
27380,AUTO-BREWERY SYNDROME,Auto-brewery syndrome,AUTO-BREWERY SYNDROME,GUT FERMENTATION SYNDROME,GASTROINTESTINAL DISORDERS NEC,GASTROINTESTINAL CONDITIONS NEC,10017947,10080603,10080594,10080603
27399,PARTIAL RESPONSE,Therapy partial responder,THERAPY PARTIAL RESPONDER,THERAPY PARTIAL RESPONDER,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10078115,10078115,10078115
27418,PERIARTICULAR THENAR ERYTHEMA WITH ONYCHOLYSIS SYNDROME (GRADE 2),periarticular thenar erythema with onycholysis,PERIARTICULAR THENAR ERYTHEMA WITH ONYCHOLYSIS,PERIARTICULAR THENAR ERYTHEMA WITH ONYCHOLYSIS,DERMATITIS ASCRIBED TO SPECIFIC AGENT,EPIDERMAL AND DERMAL CONDITIONS,10040785,10078288,10078288,10078288
27441,PSYCHOTIC SYMPTOMS,Psychotic symptom,PSYCHOTIC SYMPTOM,PSYCHOTIC SYMPTOM,PSYCHOTIC DISORDER NEC,SCHIZOPHRENIA AND OTHER PSYCHOTIC DISORDERS,10037175,10079254,10079254,10079254
27591,TOXIC ERYTHEMA OF CHEMOTHERAPY WITH BALANITIS AND GRADE 2 ACRAL ERYTHEMA,Toxic erythema of chemotherapy,TOXIC ERYTHEMA OF CHEMOTHERAPY,TOXIC ERYTHEMA OF CHEMOTHERAPY,DERMATITIS ASCRIBED TO SPECIFIC AGENT,EPIDERMAL AND DERMAL CONDITIONS,10040785,10074982,10074982,10074982
27626,REFUSAL OF FEEDS,Food refusal,FOOD REFUSAL,FOOD REFUSAL,APPETITE DISORDERS,APPETITE AND GENERAL NUTRITIONAL DISORDERS,10027433,10080283,10080283,10080283
27628,"CROSS REACTIVITY TO CEFACLOR, CEFADROXIL AND CEFALEXIN",Drug cross-reactivity,DRUG CROSS-REACTIVITY,THERAPEUTIC PRODUCT CROSS-REACTIVITY,"ALLERGIES TO FOODS, FOOD ADDITIVES, DRUGS AND OTHER CHEMICALS",ALLERGIC CONDITIONS,10021428,10076743,10079645,10076743
27664,FIXED DRUG ERUPTION,Fixed eruption,FIXED DRUG ERUPTION,FIXED ERUPTION,DERMATITIS ASCRIBED TO SPECIFIC AGENT,EPIDERMAL AND DERMAL CONDITIONS,10040785,10016740,10016741,10016740
27713,MOF,Multiple organ dysfunction syndrome,MULTIPLE ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028237
27836,"POOR RECALL AND IMPACT ON IADL PERFORMANCE, REQUIRING HELP WITH FINANCES AND MEDICATION MANAGEMENT",Loss of personal independence in daily activities,LOSS OF PERSONAL INDEPENDENCE IN DAILY ACTIVITIES,LOSS OF PERSONAL INDEPENDENCE IN DAILY ACTIVITIES,DISABILITY ISSUES,LIFESTYLE ISSUES,10041244,10079487,10079487,10079487
27881,ORBITAL COMPARTMENT SYNDROME DUE TO HYALURONIDASE ALLERGY,Orbital compartment syndrome,ORBITAL COMPARTMENT SYNDROME,ORBITAL COMPARTMENT SYNDROME,OCULAR BLEEDING AND VASCULAR DISORDERS NEC,OCULAR HAEMORRHAGES AND VASCULAR DISORDERS NEC,10015919,10079161,10079161,10079161
27891,CENTRAL BRADYCARDIA,central bradycardia,CENTRAL BRADYCARDIA,CENTRAL BRADYCARDIA,RATE AND RHYTHM DISORDERS NEC,CARDIAC ARRHYTHMIAS,10007541,10078310,10078310,10078310
27917,CYTARABINE AND CELECOXIB USED FOR ATYPICAL TERATOID RHABDOID TUMOR GRADE IV,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
27955,LEVELS OF ANTI-XA ACTIVITY REDUCED,Anti factor Xa activity decreased,ANTI FACTOR XA ACTIVITY DECREASED,ANTI FACTOR XA ACTIVITY DECREASED,COAGULATION AND BLEEDING ANALYSES,HAEMATOLOGY INVESTIGATIONS (INCL BLOOD GROUPS),10022891,10078931,10078931,10078931
27968,NEONATAL RESPIRATORY DISTRESS,Neonatal respiratory distress,NEONATAL RESPIRATORY DISTRESS,NEONATAL RESPIRATORY DISTRESS,NEONATAL HYPOXIC CONDITIONS,NEONATAL RESPIRATORY DISORDERS,10038738,10028973,10028973,10028973
28007,DRUG USE FOR UNAPPROVED INDICATION,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
28125,PERIARTICULAR THENAR ERYTHEMA WITH ONYCHOLYSIS SYNDROME (GRADE 2)/GRADE II PERIARTICULAR THENAR ERYTHEMA AND ONYCHOLYSIS SYNDROME,Periarticular thenar erythema with onycholysis,PERIARTICULAR THENAR ERYTHEMA WITH ONYCHOLYSIS,PERIARTICULAR THENAR ERYTHEMA WITH ONYCHOLYSIS,DERMATITIS ASCRIBED TO SPECIFIC AGENT,EPIDERMAL AND DERMAL CONDITIONS,10040785,10078288,10078288,10078288
28233,DEXAMETHASONE USED TO TREAT INFLUENZA B VIRUS,Drug use for unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
28245,MULTI-ORGAN FAILURE DUE TO HAEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS,multi-organ failure,MULTI-ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028154
28254,REACTIVATION OF HEPATITIS B VIRUS,Hepatitis B reactivation,HEPATITIS B REACTIVATION,HEPATITIS B REACTIVATION,HEPATITIS VIRAL INFECTIONS,VIRAL INFECTIOUS DISORDERS,10021881,10058827,10058827,10058827
